Ticker,Old Price,Date,Type,Original Currency
0P00018XAP.L,97.26624298095703,2020-08-23,MUTUALFUND,GBP
0P00018XAP.L,94.68396759033203,2020-09-06,MUTUALFUND,GBP
0P00018XAP.L,95.62982177734375,2020-09-13,MUTUALFUND,GBP
0P00018XAP.L,92.10770416259766,2020-09-20,MUTUALFUND,GBP
0P00018XAP.L,94.54682922363281,2020-09-27,MUTUALFUND,GBP
0P00018XAP.L,94.86800384521484,2020-10-04,MUTUALFUND,GBP
0P00018XAP.L,95.34832000732422,2020-10-11,MUTUALFUND,GBP
0P00018XAP.L,93.95734405517578,2020-10-18,MUTUALFUND,GBP
0P00018XAP.L,109.17239379882812,2021-03-28,MUTUALFUND,GBP
0P00018XAP.L,111.75617218017578,2021-04-11,MUTUALFUND,GBP
0P00018XAP.L,113.64287567138672,2021-04-18,MUTUALFUND,GBP
0P00018XAP.L,113.1174087524414,2021-04-25,MUTUALFUND,GBP
0P00018XAP.L,115.32585144042969,2021-05-09,MUTUALFUND,GBP
0P00018XAP.L,114.46388244628906,2021-05-16,MUTUALFUND,GBP
0P00018XAP.L,114.91688537597656,2021-05-23,MUTUALFUND,GBP
0P00018XAP.L,114.89784240722656,2021-06-06,MUTUALFUND,GBP
0P00018XAP.L,116.04930877685547,2021-06-13,MUTUALFUND,GBP
0P00018XAP.L,115.24595642089844,2021-06-20,MUTUALFUND,GBP
0P00018XAP.L,115.51909637451172,2021-06-27,MUTUALFUND,GBP
0P00018XAP.L,116.46551513671875,2021-07-04,MUTUALFUND,GBP
0P00018XAP.L,116.46561431884766,2021-07-11,MUTUALFUND,GBP
0P00018XAP.L,111.87118530273438,2021-07-18,MUTUALFUND,GBP
0P00018XAP.L,114.30882263183594,2021-07-25,MUTUALFUND,GBP
0P00018XAP.L,115.25236511230469,2021-08-01,MUTUALFUND,GBP
0P00018XAP.L,116.20649719238281,2021-08-08,MUTUALFUND,GBP
0P00018XAP.L,116.98904418945312,2021-08-15,MUTUALFUND,GBP
0P00018XAP.L,116.53046417236328,2021-08-22,MUTUALFUND,GBP
0P00018XAP.L,118.13223266601562,2021-09-05,MUTUALFUND,GBP
0P00018XAP.L,116.1942367553711,2021-09-12,MUTUALFUND,GBP
0P00018XAP.L,114.02945709228516,2021-09-19,MUTUALFUND,GBP
0P00018XAP.L,116.10504913330078,2021-09-26,MUTUALFUND,GBP
0P00018XAP.L,115.89025115966797,2021-10-03,MUTUALFUND,GBP
0P00018XAP.L,118.15861511230469,2021-10-10,MUTUALFUND,GBP
0P00018XAP.L,118.56153869628906,2021-10-17,MUTUALFUND,GBP
0P00018XAP.L,118.90259552001953,2021-10-24,MUTUALFUND,GBP
0P00018XAP.L,125.46632385253906,2022-03-27,MUTUALFUND,GBP
0P00018XAP.L,126.94175720214844,2022-04-03,MUTUALFUND,GBP
0P00018XAP.L,128.09832763671875,2022-04-10,MUTUALFUND,GBP
0P00018XAP.L,124.28002166748047,2022-04-24,MUTUALFUND,GBP
0P00018XAP.L,121.04071807861328,2022-05-08,MUTUALFUND,GBP
0P00018XAP.L,125.24531555175781,2022-05-15,MUTUALFUND,GBP
0P00018XAP.L,126.93033599853516,2022-05-22,MUTUALFUND,GBP
0P00018XAP.L,127.82463073730469,2022-05-29,MUTUALFUND,GBP
0P00018XAP.L,128.71316528320312,2022-06-05,MUTUALFUND,GBP
0P00018XAP.L,121.93938446044922,2022-06-12,MUTUALFUND,GBP
0P00018XAP.L,120.57172393798828,2022-06-19,MUTUALFUND,GBP
0P00018XAP.L,122.35457611083984,2022-06-26,MUTUALFUND,GBP
0P00018XAP.L,122.51763153076172,2022-07-03,MUTUALFUND,GBP
0P00018XAP.L,121.99010467529297,2022-07-10,MUTUALFUND,GBP
0P00018XAP.L,121.8640365600586,2022-07-17,MUTUALFUND,GBP
0P00018XAP.L,123.26624298095703,2022-07-24,MUTUALFUND,GBP
0P00018XAP.L,125.71735382080078,2022-07-31,MUTUALFUND,GBP
0P00018XAP.L,126.4545669555664,2022-08-07,MUTUALFUND,GBP
0P00018XAP.L,127.3553695678711,2022-08-14,MUTUALFUND,GBP
0P00018XAP.L,128.09219360351562,2022-08-21,MUTUALFUND,GBP
0P00018XAP.L,124.1283187866211,2022-09-04,MUTUALFUND,GBP
0P00018XAP.L,127.29888916015625,2022-09-11,MUTUALFUND,GBP
0P00018XAP.L,120.1729736328125,2022-09-25,MUTUALFUND,GBP
0P00018XAP.L,118.3714599609375,2022-10-02,MUTUALFUND,GBP
0P00018XAP.L,118.67479705810547,2022-10-09,MUTUALFUND,GBP
0P00018XAP.L,118.03672790527344,2022-10-16,MUTUALFUND,GBP
0P00018XAP.L,120.24991607666016,2022-10-23,MUTUALFUND,GBP
0P00018XAP.L,129.98831176757812,2023-03-26,MUTUALFUND,GBP
0P00018XAP.L,132.93218994140625,2023-04-02,MUTUALFUND,GBP
0P00018XAP.L,137.3404083251953,2023-04-16,MUTUALFUND,GBP
0P00018XAP.L,137.9822998046875,2023-04-23,MUTUALFUND,GBP
0P00018XAP.L,135.4825897216797,2023-05-14,MUTUALFUND,GBP
0P00018XAP.L,136.22955322265625,2023-05-21,MUTUALFUND,GBP
0P00018XAP.L,133.4096221923828,2023-06-04,MUTUALFUND,GBP
0P00018XAP.L,132.37696838378906,2023-06-11,MUTUALFUND,GBP
0P00018XAP.L,132.69117736816406,2023-06-18,MUTUALFUND,GBP
0P00018XAP.L,130.3843536376953,2023-06-25,MUTUALFUND,GBP
0P00018XAP.L,132.32801818847656,2023-07-02,MUTUALFUND,GBP
0P00018XAP.L,127.86857604980469,2023-07-09,MUTUALFUND,GBP
0P00018XAP.L,129.6680450439453,2023-07-16,MUTUALFUND,GBP
0P00018XAP.L,134.4315643310547,2023-07-23,MUTUALFUND,GBP
0P00018XAP.L,135.49049377441406,2023-07-30,MUTUALFUND,GBP
0P00018XAP.L,138.27951049804688,2023-08-06,MUTUALFUND,GBP
0P00018XAP.L,137.9996795654297,2023-08-13,MUTUALFUND,GBP
0P00018XAP.L,133.55262756347656,2023-08-20,MUTUALFUND,GBP
0P00018XAP.L,136.78823852539062,2023-09-03,MUTUALFUND,GBP
0P00018XAP.L,138.29898071289062,2023-09-10,MUTUALFUND,GBP
0P00018XAP.L,140.48179626464844,2023-09-17,MUTUALFUND,GBP
0P00018XAP.L,139.93133544921875,2023-09-24,MUTUALFUND,GBP
0P00018XAP.L,138.6801300048828,2023-10-01,MUTUALFUND,GBP
0P00018XAP.L,137.68251037597656,2023-10-08,MUTUALFUND,GBP
0P00018XAP.L,140.9641571044922,2023-10-15,MUTUALFUND,GBP
0P00018XAP.L,136.26333618164062,2023-10-22,MUTUALFUND,GBP
0P00018XAP.L,148.53692626953125,2024-04-07,MUTUALFUND,GBP
0P00018XAP.L,149.92572021484375,2024-04-14,MUTUALFUND,GBP
0P00018XAP.L,150.3839569091797,2024-04-21,MUTUALFUND,GBP
0P00018XAP.L,153.5183563232422,2024-04-28,MUTUALFUND,GBP
0P00018XAP.L,158.7965850830078,2024-05-12,MUTUALFUND,GBP
0P00018XAP.L,159.3544921875,2024-05-19,MUTUALFUND,GBP
0P00018XAP.L,156.38809204101562,2024-06-02,MUTUALFUND,GBP
0P00018XAP.L,155.20164489746094,2024-06-09,MUTUALFUND,GBP
0P00018XAP.L,153.61195373535156,2024-06-16,MUTUALFUND,GBP
0P00018XAP.L,157.0806884765625,2024-06-23,MUTUALFUND,GBP
0P00018XAP.L,154.25660705566406,2024-06-30,MUTUALFUND,GBP
0P00018XAP.L,155.52525329589844,2024-07-07,MUTUALFUND,GBP
0P00018XAP.L,155.30796813964844,2024-07-14,MUTUALFUND,GBP
0P00018XAP.L,155.6097869873047,2024-07-21,MUTUALFUND,GBP
0P00018XAP.L,156.6504364013672,2024-07-28,MUTUALFUND,GBP
0P00018XAP.L,157.6728973388672,2024-08-04,MUTUALFUND,GBP
0P00018XAP.L,162.0319061279297,2024-08-11,MUTUALFUND,GBP
0P00018XAP.L,164.6457977294922,2024-08-18,MUTUALFUND,GBP
0P00018XAP.L,165.77430725097656,2024-09-01,MUTUALFUND,GBP
0P00018XAP.L,164.00650024414062,2024-09-08,MUTUALFUND,GBP
0P00018XAP.L,164.18569946289062,2024-09-15,MUTUALFUND,GBP
0P00018XAP.L,163.7989044189453,2024-09-22,MUTUALFUND,GBP
0P00018XAP.L,162.6562957763672,2024-09-29,MUTUALFUND,GBP
0P00018XAP.L,164.83419799804688,2024-10-06,MUTUALFUND,GBP
0P00018XAP.L,163.868896484375,2024-10-13,MUTUALFUND,GBP
0P00018XAP.L,164.39320373535156,2024-10-20,MUTUALFUND,GBP
CUKX.L,6549.0,2010-09-19,ETF,GBp
CUKX.L,6520.0,2010-09-26,ETF,GBp
CUKX.L,6520.0,2010-10-03,ETF,GBp
CUKX.L,6520.0,2010-10-10,ETF,GBp
CUKX.L,6724.0,2010-10-17,ETF,GBp
CUKX.L,6673.0,2010-10-24,ETF,GBp
CUKX.L,6984.5,2011-03-27,ETF,GBp
CUKX.L,7045.0,2011-04-03,ETF,GBp
CUKX.L,7128.5,2011-04-10,ETF,GBp
CUKX.L,7106.5,2011-04-17,ETF,GBp
CUKX.L,7064.5,2011-05-08,ETF,GBp
CUKX.L,7050.0,2011-05-15,ETF,GBp
CUKX.L,6961.5,2011-05-22,ETF,GBp
CUKX.L,7006.5,2011-06-05,ETF,GBp
CUKX.L,6905.5,2011-06-12,ETF,GBp
CUKX.L,6813.0,2011-06-19,ETF,GBp
CUKX.L,6836.5,2011-06-26,ETF,GBp
CUKX.L,7204.5,2011-07-03,ETF,GBp
CUKX.L,7087.5,2011-07-10,ETF,GBp
CUKX.L,6886.0,2011-07-17,ETF,GBp
CUKX.L,7086.5,2011-07-24,ETF,GBp
CUKX.L,6931.0,2011-07-31,ETF,GBp
CUKX.L,6116.0,2011-08-07,ETF,GBp
CUKX.L,6425.0,2011-08-14,ETF,GBp
CUKX.L,6133.0,2011-08-21,ETF,GBp
CUKX.L,6161.5,2011-09-04,ETF,GBp
CUKX.L,6193.5,2011-09-11,ETF,GBp
CUKX.L,6340.0,2011-09-18,ETF,GBp
CUKX.L,6130.0,2011-09-25,ETF,GBp
CUKX.L,6109.0,2011-10-02,ETF,GBp
CUKX.L,6499.0,2011-10-09,ETF,GBp
CUKX.L,6548.0,2011-10-16,ETF,GBp
CUKX.L,6681.0,2011-10-23,ETF,GBp
CUKX.L,7218.0,2012-03-25,ETF,GBp
CUKX.L,7191.5,2012-04-01,ETF,GBp
CUKX.L,6962.5,2012-04-15,ETF,GBp
CUKX.L,6947.0,2012-04-22,ETF,GBp
CUKX.L,7047.0,2012-04-29,ETF,GBp
CUKX.L,6735.0,2012-05-13,ETF,GBp
