Ticker,Old Price,Date,Type,Original Currency,FX Ticker,FX Rate
BZG25.NYM,81.66000366210938,2024-04-19,FUTURE,USD,GBP=X,
BZG25.NYM,83.11000061035156,2024-04-26,FUTURE,USD,GBP=X,
BZG25.NYM,79.43000030517578,2024-05-03,FUTURE,USD,GBP=X,
BZG25.NYM,79.26000213623047,2024-05-10,FUTURE,USD,GBP=X,
BZG25.NYM,80.55999755859375,2024-05-17,FUTURE,USD,GBP=X,
BZG25.NYM,78.98999786376953,2024-05-24,FUTURE,USD,GBP=X,
BZG25.NYM,79.08999633789062,2024-05-31,FUTURE,USD,GBP=X,
BZG25.NYM,77.45999908447266,2024-06-07,FUTURE,USD,GBP=X,
BZG25.NYM,79.5999984741211,2024-06-14,FUTURE,USD,GBP=X,
BZG25.NYM,81.26000213623047,2024-06-21,FUTURE,USD,GBP=X,
BZG25.NYM,81.83000183105469,2024-06-28,FUTURE,USD,GBP=X,
BZG25.NYM,83.2300033569336,2024-07-05,FUTURE,USD,GBP=X,
BZG25.NYM,81.5999984741211,2024-07-12,FUTURE,USD,GBP=X,
BZG25.NYM,79.1500015258789,2024-07-19,FUTURE,USD,GBP=X,
BZG25.NYM,78.13999938964844,2024-07-26,FUTURE,USD,GBP=X,
BZG25.NYM,75.12000274658203,2024-08-02,FUTURE,USD,GBP=X,
BZG25.NYM,77.5199966430664,2024-08-09,FUTURE,USD,GBP=X,
BZG25.NYM,77.4800033569336,2024-08-16,FUTURE,USD,GBP=X,
BZG25.NYM,76.69999694824219,2024-08-23,FUTURE,USD,GBP=X,
BZG25.NYM,75.37999725341797,2024-08-30,FUTURE,USD,GBP=X,
BZG25.NYM,70.29000091552734,2024-09-06,FUTURE,USD,GBP=X,
BZG25.NYM,70.41999816894531,2024-09-13,FUTURE,USD,GBP=X,
BZG25.NYM,72.87999725341797,2024-09-20,FUTURE,USD,GBP=X,
BZG25.NYM,71.01000213623047,2024-09-27,FUTURE,USD,GBP=X,
BZG25.NYM,76.88999938964844,2024-10-04,FUTURE,USD,GBP=X,
BZG25.NYM,78.1500015258789,2024-10-11,FUTURE,USD,GBP=X,
BZG25.NYM,72.33999633789062,2024-10-18,FUTURE,USD,GBP=X,
BZG25.NYM,75.20999908447266,2024-10-25,FUTURE,USD,GBP=X,
GCG25.CMX,2142.0,2023-03-31,FUTURE,USD,GBP=X,
GCG25.CMX,2175.89990234375,2023-04-14,FUTURE,USD,GBP=X,
GCG25.CMX,2152.300048828125,2023-04-21,FUTURE,USD,GBP=X,
GCG25.CMX,2158.10009765625,2023-04-28,FUTURE,USD,GBP=X,
GCG25.CMX,2180.699951171875,2023-05-05,FUTURE,USD,GBP=X,
GCG25.CMX,2178.699951171875,2023-05-12,FUTURE,USD,GBP=X,
GCG25.CMX,2141.800048828125,2023-05-19,FUTURE,USD,GBP=X,
GCG25.CMX,2112.699951171875,2023-05-26,FUTURE,USD,GBP=X,
GCG25.CMX,2120.0,2023-06-02,FUTURE,USD,GBP=X,
GCG25.CMX,2128.5,2023-06-09,FUTURE,USD,GBP=X,
GCG25.CMX,2128.699951171875,2023-06-16,FUTURE,USD,GBP=X,
GCG25.CMX,2091.0,2023-06-23,FUTURE,USD,GBP=X,
GCG25.CMX,2095.39990234375,2023-06-30,FUTURE,USD,GBP=X,
GCG25.CMX,2099.5,2023-07-07,FUTURE,USD,GBP=X,
GCG25.CMX,2126.0,2023-07-14,FUTURE,USD,GBP=X,
GCG25.CMX,2128.60009765625,2023-07-21,FUTURE,USD,GBP=X,
GCG25.CMX,2125.5,2023-07-28,FUTURE,USD,GBP=X,
GCG25.CMX,2104.0,2023-08-04,FUTURE,USD,GBP=X,
GCG25.CMX,2073.39990234375,2023-08-11,FUTURE,USD,GBP=X,
GCG25.CMX,2043.199951171875,2023-08-18,FUTURE,USD,GBP=X,
